algorithm,name,score,pred_label,true_label
scrublet,mx_0,0.0898876404494382,0.0,0.0
scrublet,mx_1,0.048780487804878,0.0,0.0
scrublet,mx_2,0.0712530712530712,0.0,0.0
scrublet,mx_3,0.0831099195710455,0.0,0.0
scrublet,mx_4,0.0660377358490566,0.0,0.0
scrublet,mx_5,0.0769230769230769,0.0,0.0
scrublet,mx_6,0.2019704433497536,0.0,0.0
scrublet,mx_7,0.056768558951965,0.0,0.0
scrublet,mx_8,0.0712530712530712,0.0,0.0
scrublet,mx_9,0.0769230769230769,0.0,0.0
scrublet,mx_10,0.0660377358490566,0.0,0.0
scrublet,mx_11,0.1496062992125984,0.0,0.0
scrublet,mx_12,0.1818181818181818,0.0,0.0
scrublet,mx_13,0.0973451327433628,0.0,0.0
scrublet,mx_14,0.0612244897959183,0.0,0.0
scrublet,mx_15,0.1249999999999999,0.0,0.0
scrublet,mx_16,0.0660377358490566,0.0,0.0
scrublet,mx_17,0.0526315789473684,0.0,0.0
scrublet,mx_18,0.1818181818181818,0.0,0.0
scrublet,mx_19,0.2544378698224852,0.0,0.0
scrublet,mx_20,0.0451866404715127,0.0,0.0
scrublet,mx_21,0.2019704433497536,0.0,0.0
scrublet,mx_22,0.1818181818181818,0.0,0.0
scrublet,mx_23,0.027823240589198,0.0,0.0
scrublet,mx_26,0.0712530712530712,0.0,0.0
scrublet,mx_27,0.0973451327433628,0.0,0.0
scrublet,mx_28,0.1365313653136531,0.0,0.0
scrublet,mx_29,0.1249999999999999,0.0,0.0
scrublet,mx_30,0.2019704433497536,0.0,0.0
scrublet,mx_31,0.0831099195710455,0.0,0.0
scrublet,mx_32,0.0357142857142857,0.0,0.0
scrublet,mx_33,0.1147540983606557,0.0,0.0
scrublet,mx_34,0.0769230769230769,0.0,0.0
scrublet,mx_35,0.1818181818181818,0.0,0.0
scrublet,mx_36,0.0660377358490566,0.0,0.0
scrublet,mx_37,0.1249999999999999,0.0,0.0
scrublet,mx_38,0.0612244897959183,0.0,0.0
scrublet,mx_39,0.1818181818181818,0.0,0.0
scrublet,mx_41,0.1818181818181818,0.0,0.0
scrublet,mx_43,0.0973451327433628,0.0,0.0
scrublet,mx_44,0.2544378698224852,0.0,0.0
scrublet,mx_45,0.0712530712530712,0.0,0.0
